City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Caxito,AO,2022-04-26 18:42:35,-8.5785,13.6643,74.41,98,100,1.21
185,Kanker,IN,2022-04-26 18:38:31,20.2719,81.4931,82.8,17,8,4.52
186,Cordoba,AR,2022-04-26 18:41:50,-31.4135,-64.1811,92.75,34,20,18.41
187,Barentu,ER,2022-04-26 18:43:35,15.1139,37.5928,87.96,14,100,8.14
188,Kuching,MY,2022-04-26 18:43:36,1.55,110.3333,75.42,94,20,2.3
189,Abidjan,CI,2022-04-26 18:39:04,5.3094,-4.0197,85.96,79,20,8.05
190,Iqaluit,CA,2022-04-26 18:43:36,63.7506,-68.5145,6.53,55,40,11.5
191,Tautira,PF,2022-04-26 18:43:36,-17.7333,-149.15,81.32,76,33,21.88
192,Carnarvon,AU,2022-04-26 18:36:50,-24.8667,113.6333,69.87,68,75,21.85
193,Castro,BR,2022-04-26 18:43:37,-24.7911,-50.0119,77.34,64,26,4.99
194,Yongchang,CN,2022-04-26 18:43:37,30.0381,119.7317,61.77,98,99,4.21
195,Half Moon Bay,US,2022-04-26 18:38:08,37.4636,-122.4286,68.05,66,20,24.16
196,Kipushi,CD,2022-04-26 18:43:37,-11.7667,27.2333,61.41,86,38,3.27
197,Lavrentiya,RU,2022-04-26 18:40:35,65.5833,-171.0,21.06,88,97,3.36
198,Mehamn,NO,2022-04-26 18:43:38,71.0357,27.8492,19.42,76,100,29.97
199,Jeremie,HT,2022-04-26 18:43:38,18.65,-74.1167,81.23,62,5,7.61
200,San Quintin,MX,2022-04-26 18:43:39,30.4833,-115.95,68.81,58,100,13.27
201,Constitucion,CL,2022-04-26 18:36:49,-35.3333,-72.4167,52.95,87,100,5.44
202,Sabana De Torres,CO,2022-04-26 18:43:39,7.3915,-73.4957,90.21,55,42,2.39
203,Dhidhdhoo,MV,2022-04-26 18:43:39,6.8833,73.1,84.83,71,100,1.12
204,Lagunas,PE,2022-04-26 18:43:40,-5.2269,-75.6753,92.7,47,92,1.7
205,Oranjestad,AW,2022-04-26 18:39:22,12.524,-70.027,87.75,58,20,18.41
206,Ketchikan,US,2022-04-26 18:38:10,55.3422,-131.6461,46.87,76,40,5.75
207,Kavieng,PG,2022-04-26 18:43:40,-2.5744,150.7967,83.12,76,5,13.2
208,Omboue,GA,2022-04-26 18:43:40,-1.5746,9.2618,78.62,89,100,5.61
209,Faanui,PF,2022-04-26 18:43:41,-16.4833,-151.75,82.54,73,23,20.71
210,Lethem,GY,2022-04-26 18:43:41,3.3803,-59.7968,90.86,50,97,4.52
211,Fairbanks,US,2022-04-26 18:40:57,64.8378,-147.7164,45.82,58,75,5.75
212,Raudeberg,NO,2022-04-26 18:43:41,61.9875,5.1352,43.47,68,100,25.81
213,Riyadh,SA,2022-04-26 18:42:54,24.6877,46.7219,77.14,29,71,8.63
214,Macusani,PE,2022-04-26 18:43:42,-14.0833,-70.4333,49.93,54,100,8.55
215,Bida,NG,2022-04-26 18:39:12,9.0833,6.0167,89.02,42,100,4.09
216,Neuquen,AR,2022-04-26 18:39:26,-38.9516,-68.0591,57.09,54,75,5.75
217,Kysyl-Syr,RU,2022-04-26 18:43:42,63.8986,122.7617,7.75,97,68,2.68
218,Bonfim,BR,2022-04-26 18:43:43,3.0833,-59.95,91.42,47,100,1.83
219,Komsomolskiy,UZ,2022-04-26 18:43:43,40.4272,71.7189,68.72,56,75,4.61
220,San Rafael Del Sur,NI,2022-04-26 18:43:43,11.8485,-86.4384,88.77,58,99,5.61
221,Hualmay,PE,2022-04-26 18:43:44,-11.0964,-77.6139,72.48,75,21,11.25
222,Provideniya,RU,2022-04-26 18:43:44,64.3833,-173.3,27.72,84,52,8.41
223,Bimbo,CF,2022-04-26 18:43:44,4.2567,18.4158,78.67,69,48,5.32
224,Hamilton,US,2022-04-26 18:33:50,39.1834,-84.5333,54.95,56,40,13.8
225,Jiazi,CN,2022-04-26 18:43:04,22.8779,116.067,80.65,69,99,9.1
226,Sitka,US,2022-04-26 18:43:45,57.0531,-135.33,44.49,81,100,5.75
227,Churapcha,RU,2022-04-26 18:43:45,62.0025,132.4325,10.81,97,54,3.27
228,Gazanjyk,TM,2022-04-26 18:43:46,39.2446,55.5154,69.96,55,100,10.45
229,Upernavik,GL,2022-04-26 18:43:06,72.7868,-56.1549,30.2,71,97,5.99
230,Coahuayana,MX,2022-04-26 18:43:46,18.7333,-103.6833,89.78,39,0,8.5
231,Juneau,US,2022-04-26 18:34:32,58.3019,-134.4197,44.22,95,100,3.44
232,Tuatapere,NZ,2022-04-26 18:44:46,-46.1333,167.6833,51.69,90,100,6.93
233,Vangaindrano,MG,2022-04-26 18:44:47,-23.35,47.6,73.4,92,99,8.97
234,Moundsville,US,2022-04-26 18:44:47,39.9203,-80.7431,58.15,70,100,1.01
235,Sinnamary,GF,2022-04-26 18:44:47,5.3833,-52.95,82.67,76,100,8.7
236,Radomsko,PL,2022-04-26 18:42:19,51.0671,19.4448,46.51,81,39,3.2
237,Turukhansk,RU,2022-04-26 18:44:48,65.8167,87.9833,11.35,95,23,3.85
238,Thai Binh,VN,2022-04-26 18:44:48,20.45,106.3333,77.95,93,89,9.86
239,Flinders,AU,2022-04-26 18:44:49,-34.5833,150.8552,62.19,93,100,5.99
240,Solnechnyy,RU,2022-04-26 18:44:49,50.7214,136.6319,26.38,96,100,8.46
241,Port Lincoln,AU,2022-04-26 18:44:49,-34.7333,135.8667,61.34,88,0,4.52
242,Rawlins,US,2022-04-26 18:44:50,41.7911,-107.2387,60.69,21,0,20.71
243,Ouadda,CF,2022-04-26 18:44:50,8.0777,22.4007,75.74,68,100,2.01
244,Mogadishu,SO,2022-04-26 18:44:50,2.0371,45.3438,83.05,72,50,5.82
245,Atar,MR,2022-04-26 18:44:51,20.5169,-13.0499,83.62,20,0,13.6
246,Limbang,MY,2022-04-26 18:44:51,4.75,115.0,73.27,97,86,2.28
247,Guarapari,BR,2022-04-26 18:44:51,-20.6667,-40.4975,81.9,76,31,7.25
248,Chardara,KZ,2022-04-26 18:44:52,41.2547,67.9692,68.72,44,100,3.69
249,Olafsvik,IS,2022-04-26 18:44:52,64.8945,-23.7142,42.93,75,100,5.86
250,Dombarovskiy,RU,2022-04-26 18:44:52,50.7587,59.5386,55.24,43,12,4.03
251,Athni,IN,2022-04-26 18:44:53,16.7333,75.0667,90.09,31,99,2.08
252,Qaqortoq,GL,2022-04-26 18:44:53,60.7167,-46.0333,39.27,76,99,2.06
253,Aldan,RU,2022-04-26 18:38:14,58.6031,125.3894,17.1,93,54,3.8
254,Bengkulu,ID,2022-04-26 18:44:53,-3.8004,102.2655,77.99,88,59,4.23
255,Eyrarbakki,IS,2022-04-26 18:44:54,63.863,-21.1481,46.45,71,100,4.16
256,Havre-Saint-Pierre,CA,2022-04-26 18:44:10,50.2334,-63.5986,39.56,93,100,4.61
257,Snezhnogorsk,RU,2022-04-26 18:44:54,69.1933,33.2531,20.98,62,63,22.75
258,Saint Cloud,US,2022-04-26 18:44:54,45.5608,-94.1625,37.24,55,100,5.75
259,Portoferraio,IT,2022-04-26 18:44:55,42.8115,10.3146,61.97,94,0,3.44
260,Vao,NC,2022-04-26 18:44:55,-22.6667,167.4833,74.16,60,100,18.23
261,Kurchum,KZ,2022-04-26 18:41:22,48.5722,83.6542,45.16,56,100,5.5
262,Hornepayne,CA,2022-04-26 18:44:55,49.2138,-84.7705,23.67,73,100,10.2
263,Kodiak,US,2022-04-26 18:41:27,57.79,-152.4072,42.31,56,100,11.5
264,Cortez,US,2022-04-26 18:44:56,37.3489,-108.5859,65.7,18,0,14.97
265,Nome,US,2022-04-26 18:44:56,64.5011,-165.4064,35.17,92,0,0.0
266,Bambanglipuro,ID,2022-04-26 18:44:57,-7.95,110.2833,77.63,88,71,3.94
267,Torbay,CA,2022-04-26 18:44:57,47.6666,-52.7314,43.88,87,100,15.01
268,Saint-Augustin,CA,2022-04-26 18:44:57,51.226,-58.6502,35.15,100,100,6.53
269,Kendari,ID,2022-04-26 18:44:58,-3.945,122.4989,75.11,95,98,4.25
270,Nanortalik,GL,2022-04-26 18:44:58,60.1432,-45.2371,37.17,84,100,5.06
271,Srivardhan,IN,2022-04-26 18:44:58,18.0333,73.0167,82.53,60,0,8.19
272,Kerrville,US,2022-04-26 18:44:58,30.0474,-99.1403,69.55,63,100,6.91
273,Kudahuvadhoo,MV,2022-04-26 18:44:59,2.6708,72.8944,84.27,72,11,3.69
274,Goderich,CA,2022-04-26 18:44:59,43.7501,-81.7165,41.92,87,100,10.36
275,Sehithwa,BW,2022-04-26 18:44:59,-20.4667,22.7167,79.36,32,100,7.96
276,Ronne,DK,2022-04-26 18:45:00,55.1009,14.7066,44.51,87,89,1.14
277,Cherskiy,RU,2022-04-26 18:46:00,68.75,161.3,26.65,81,100,4.25
